1646427840,2022-03-04 21:04,43.9,70.4,3.21,18,0.104,1458
1646428080,2022-03-04 21:08,43,70,3.27,17.5,0.1,1460
1646428320,2022-03-04 21:12,41.1,372,2.53,17.9,0.167,1077
1646428560,2022-03-04 21:16,34.4,858,1.46,15.9,0.207,411
1646428800,2022-03-04 21:20,45.3,79.5,3.27,18.4,0.0926,1448
1646429040,2022-03-04 21:24,45.9,73.6,3.11,18.7,0.104,1453
1646429280,2022-03-04 21:28,44.1,71.5,3.33,18.1,0.104,1457
1646429520,2022-03-04 21:32,43.4,70.8,3.14,17.8,0.0963,1459
1646429760,2022-03-04 21:36,43.8,71.5,3.14,18.2,0.0963,1457
1646430000,2022-03-04 21:40,42.5,69.1,3.16,17,0.107,1463
1646430240,2022-03-04 21:44,42.5,68.9,2.81,16.9,0.0889,1463
1646430480,2022-03-04 21:48,43.6,70.4,3.09,17.7,0.104,1460
1646430720,2022-03-04 21:52,43.2,70.1,3.05,17.6,0.0889,1460
1646430960,2022-03-04 21:56,43.4,70.3,3.31,17.9,0.104,1458
1646431200,2022-03-04 22:00,42.8,69.6,3.27,17.7,0.0926,1460
1646431440,2022-03-04 22:04,42.3,68.9,3,17.1,0.0926,1463
1646431680,2022-03-04 22:08,41.5,67.5,2.93,16.3,0.0926,1467
1646431920,2022-03-04 22:12,40,346,2.43,16.4,0.507,1110
1646432160,2022-03-04 22:16,34.4,704,1.49,15.1,0.0778,556
1646432400,2022-03-04 22:20,41.2,67.4,2.89,16,0.104,1468
1646432640,2022-03-04 22:24,41.1,66.9,3.61,15.9,0.104,1468
1646432880,2022-03-04 22:28,40.8,66.8,3.23,15.8,0.0963,1469
1646433120,2022-03-04 22:32,41.5,67.5,3.12,15.8,0.107,1468
1646433360,2022-03-04 22:36,41.1,67.7,2.98,16,0.0852,1467
1646433600,2022-03-04 22:40,40.4,67,3.07,15.7,0.1,1469
1646433840,2022-03-04 22:44,40.5,67.1,2.93,15.6,0.115,1469
1646434080,2022-03-04 22:48,40.6,67,3.19,15.8,0.0963,1469
1646434320,2022-03-04 22:52,41.2,67.5,3.16,16,0.104,1467
1646434560,2022-03-04 22:56,41,67.2,3.09,15.9,0.0889,1468
1646434800,2022-03-04 23:00,40.8,67,3.4,15.8,0.0963,1468
1646435040,2022-03-04 23:04,40.9,67.3,2.9,16,0.1,1468
1646435280,2022-03-04 23:08,40.8,66.9,3.08,16,0.0963,1468
1646435520,2022-03-04 23:12,40.2,335,2.46,17,0.107,1132
1646435760,2022-03-04 23:16,30.8,869,1.1,15.7,0.0963,336
1646436000,2022-03-04 23:20,36,68.7,3.29,16.5,0.115,1471
1646436240,2022-03-04 23:24,36.6,69.8,2.99,17.1,0.107,1469
1646436480,2022-03-04 23:28,31.4,940,1.7,16.8,0.0852,360
1646436720,2022-03-04 23:32,36.3,240,3.48,17.5,0.0889,1269
1646436960,2022-03-04 23:36,39.9,99.4,3.35,19.8,0.1,1432
1646437200,2022-03-04 23:40,39.2,84.7,3.58,19.3,0.107,1448
1646437440,2022-03-04 23:44,39.7,85.9,3.49,19.7,0.104,1445
1646437680,2022-03-04 23:48,39.9,86.4,3.79,19.8,0.1,1444
1646437920,2022-03-04 23:52,40.7,90.1,3.34,20.3,0.0963,1440
1646438160,2022-03-04 23:56,40.9,92.3,3.74,20.6,0.0963,1436
1646438400,2022-03-05 0:00,41.1,95.5,3.64,20.6,1.16,1432
1646438640,2022-03-05 0:04,42.1,98.8,4.56,21.6,0.104,1426
1646438880,2022-03-05 0:08,36.5,589,2.7,19.8,0.0852,809
1646439120,2022-03-05 0:12,33.2,825,2.71,17.5,0.0815,525
1646439360,2022-03-05 0:16,29.5,1010,0.896,17,0.0889,111
1646439600,2022-03-05 0:20,38.2,167,3.9,18.3,0.0963,1343
1646439840,2022-03-05 0:24,41.5,95.3,3.91,20.4,0.0963,1433
1646440080,2022-03-05 0:28,43,105,3.81,21.4,0.111,1420
1646440320,2022-03-05 0:32,43.2,109,3.32,22,0.0852,1416
1646440560,2022-03-05 0:36,41.3,96.8,3.49,20.8,0.107,1432
1646440800,2022-03-05 0:40,38.1,73.1,3.93,18,0.0963,1462
1646441040,2022-03-05 0:44,40.2,73.3,4.39,18.1,0.0963,1459
1646441280,2022-03-05 0:48,42.5,73.8,3.28,17,0.104,1458
1646441520,2022-03-05 0:52,43.4,71.5,3.93,16.9,0.111,1459
1646441760,2022-03-05 0:56,41.7,68.9,3.05,16.5,0.1,1465
1646442000,2022-03-05 1:00,42.1,68.6,3.17,17,0.0963,1463
1646442240,2022-03-05 1:04,41.4,68.5,3.49,16.4,0.104,1465
1646442480,2022-03-05 1:08,38.2,589,2.33,17.2,0.0815,829
1646442720,2022-03-05 1:12,38.4,870,2.18,17.8,0.0926,570
1646442960,2022-03-05 1:16,31.1,1019,0.892,15.4,0.0963,125
1646443200,2022-03-05 1:20,44.4,155,2.94,18.3,0.107,1352
1646443440,2022-03-05 1:24,46.3,74.9,2.83,19.2,0.104,1450
1646443680,2022-03-05 1:28,42.5,69.3,3,17.3,0.0926,1462
1646443920,2022-03-05 1:32,42.6,68.8,2.93,16.9,0.0852,1464
1646444160,2022-03-05 1:36,42.4,69,3.09,17.1,0.1,1463
1646444400,2022-03-05 1:40,41.4,68.2,3.31,16.5,0.104,1465
1646444640,2022-03-05 1:44,41.6,68.8,3.26,16.7,0.1,1464
1646444880,2022-03-05 1:48,41.1,67.7,3.16,16.3,0.496,1466
1646445120,2022-03-05 1:52,41.3,67.7,2.99,16.4,0.0926,1466
1646445360,2022-03-05 1:56,41.8,67.8,2.89,16.3,0.0889,1466
1646445600,2022-03-05 2:00,41.2,67.8,2.87,16.2,0.1,1467
1646445840,2022-03-05 2:04,42,68.2,2.93,16.7,0.0963,1465
1646446080,2022-03-05 2:08,38,571,1.91,16.6,0.0889,818
1646446320,2022-03-05 2:12,38.4,880,2.07,18,0.0963,489
1646446560,2022-03-05 2:16,32.7,979,0.807,16.7,0.0852,192
1646446800,2022-03-05 2:20,41.3,101,3.01,15.7,0.104,1427
1646447040,2022-03-05 2:24,41.2,67.6,2.87,16.1,0.1,1467
1646447280,2022-03-05 2:28,42.8,69.9,3.15,17.8,0.107,1460
1646447520,2022-03-05 2:32,42.7,69.2,2.73,17.4,0.0963,1462
1646447760,2022-03-05 2:36,42,68.4,2.91,16.7,0.1,1464
1646448000,2022-03-05 2:40,42.4,68.8,2.8,16.8,0.107,1464
1646448240,2022-03-05 2:44,42.6,69.3,2.81,17,0.104,1463
1646448480,2022-03-05 2:48,42.3,69,3.06,16.9,0.119,1463
1646448720,2022-03-05 2:52,41.8,68.3,2.96,16.6,0.0963,1465
1646448960,2022-03-05 2:56,41.3,67.7,3.3,16.2,0.107,1467
1646449200,2022-03-05 3:00,41.2,67.8,2.92,16.2,0.119,1467
1646449440,2022-03-05 3:04,41.6,68.1,3.09,16.4,0.0889,1466
1646449680,2022-03-05 3:08,37.9,572,2.27,16.4,0.0815,823
1646449920,2022-03-05 3:12,35.7,931,2.05,16.4,0.0889,384
1646450160,2022-03-05 3:16,34.6,829,1.79,16.9,0.137,450
1646450400,2022-03-05 3:20,41,67,3.29,15.8,0.1,1468
1646450640,2022-03-05 3:24,42.2,68.4,3.02,16.7,1.21,1463
1646450880,2022-03-05 3:28,41.4,68,3.26,16.2,0.111,1466
1646451120,2022-03-05 3:32,41.3,68,3.1,16.3,0.1,1466
1646451360,2022-03-05 3:36,42,68.6,3.23,16.6,0.119,1464
1646451600,2022-03-05 3:40,42,68.5,2.96,16.9,0.115,1464
1646451840,2022-03-05 3:44,41.9,68.1,3.02,16.6,0.1,1465
1646452080,2022-03-05 3:48,41.8,68.1,3.07,16.5,0.115,1465
1646452320,2022-03-05 3:52,42.3,69.7,2.95,16.6,0.122,1463
1646452560,2022-03-05 3:56,42.1,68.9,2.81,16.8,0.111,1464
1646452800,2022-03-05 4:00,42,68.6,3.02,16.9,0.1,1464
1646453040,2022-03-05 4:04,42.4,69.9,2.89,17.4,0.107,1461
1646453280,2022-03-05 4:08,38.9,589,2.21,17.5,0.0963,829
1646453520,2022-03-05 4:12,39.5,893,2.37,18.3,0.104,550
1646453760,2022-03-05 4:16,32.6,965,0.833,28,0.0926,203
1646454000,2022-03-05 4:20,39.7,87,2.93,14.9,0.107,1447
1646454240,2022-03-05 4:24,41.8,67.9,3.13,16.6,0.107,1465
1646454480,2022-03-05 4:28,42.3,68.6,3.11,16.9,0.107,1463
1646454720,2022-03-05 4:32,42.1,68.6,3.04,16.7,0.107,1464
